filepath,events
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal0.wav,"[('noise', 0, 10.0), ('jackhammer', 3.1254216166103967, 4.081540068079489), ('dog_bark', 4.272822510637965, 5.995148792556066), ('drilling', 4.644565713394142, 7.674565713394141)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1.wav,"[('noise', 0, 10.0), ('siren', 3.077712542609878, 5.000679414886816), ('dog_bark', 6.315400465607601, 7.635400465607601)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal10.wav,"[('noise', 0, 10.0), ('jackhammer', 0.5198767497848742, 2.0651477497848743), ('jackhammer', 2.4874103413146327, 4.369497050985337), ('drilling', 5.8613576672145165, 8.074698162988309), ('drilling', 6.140398664349082, 6.67565218690673), ('drilling', 6.345418587016168, 10.238122352200566), ('siren', 6.709956916509295, 10.199078019127326), ('gun_shot', 7.8136467380966135, 8.885505497164878), ('air_conditioner', 7.847789857938231, 10.25799259836025), ('engine_idling', 8.58165186249141, 9.783114437942015)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal100.wav,"[('noise', 0, 10.0), ('street_music', 0.8799605873184513, 4.183197526452309), ('siren', 2.1809289862230643, 2.833158488699463), ('dog_bark', 4.987191905708202, 8.151292323647471), ('street_music', 5.19489039532405, 8.205005433348498), ('car_horn', 5.248073895839754, 9.066583359636864), ('air_conditioner', 6.1907509871866, 9.518316333873162)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1000.wav,"[('noise', 0, 10.0), ('jackhammer', 4.298369988203878, 5.763557988203878), ('engine_idling', 8.27470286698305, 10.007183799144237)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1001.wav,"[('noise', 0, 10.0), ('children_playing', 2.202981796278745, 3.6338138808046634), ('siren', 4.573663407043262, 8.370405651714439), ('children_playing', 6.0649981957037635, 8.02203239517449), ('jackhammer', 6.298843502262789, 9.851565107394615), ('jackhammer', 6.3068561830367695, 10.038061988078983), ('jackhammer', 6.720174666123036, 8.992091522100356), ('car_horn', 7.56628739008091, 9.733003210677632), ('street_music', 8.230650313910731, 10.272584499303896), ('children_playing', 9.016092591170013, 9.89559965336792)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1002.wav,"[('noise', 0, 10.0), ('air_conditioner', 2.6862280782617325, 6.178167354843554), ('siren', 5.882924079247981, 7.475199779744345), ('car_horn', 7.450609107597737, 9.621293970317014), ('air_conditioner', 9.053755690468519, 9.890117153131417)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1003.wav,"[('noise', 0, 10.0), ('drilling', 0.5496425470599986, 1.9796425470599985), ('car_horn', 5.467627789092552, 6.557627789092552), ('air_conditioner', 7.002679879560766, 9.945000004185802)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1004.wav,"[('noise', 0, 10.0), ('street_music', 0.5965083219940261, 3.4379074623370984), ('siren', 2.5153699394681315, 4.895925267229828), ('street_music', 4.174600620068302, 7.10834784568188), ('air_conditioner', 4.4566867503103715, 8.052996162700108), ('street_music', 5.624994648522724, 9.379790100996669), ('street_music', 6.116207213198809, 8.282599224365253), ('car_horn', 6.338074463221817, 10.035282304304992)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1005.wav,"[('noise', 0, 10.0), ('jackhammer', 1.7867076625063198, 2.8332706625063198), ('engine_idling', 3.7251142152477277, 6.575738107069016), ('jackhammer', 6.027604580102127, 9.491756469933362), ('gun_shot', 6.5689678611007585, 7.205238861100758)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1006.wav,"[('noise', 0, 10.0), ('jackhammer', 0.17866792193234016, 1.6768559219323402), ('engine_idling', 0.9394890035719126, 3.3666208659417647), ('air_conditioner', 2.9033922371695478, 4.898736627638549), ('children_playing', 2.997898489684485, 6.945360467271155), ('siren', 4.230329622473415, 7.306095871681128), ('drilling', 5.293296533740712, 8.140196303483428), ('dog_bark', 5.348073209674694, 6.19345581357609), ('dog_bark', 5.885464478276684, 9.60385255303245), ('jackhammer', 7.6861770629890085, 9.147075695423364)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1007.wav,"[('noise', 0, 10.0), ('drilling', 0.4556170473446839, 1.780810047344684), ('jackhammer', 3.024846518056724, 6.5624456669708096), ('air_conditioner', 3.5438547118944794, 7.474272060257842), ('engine_idling', 4.275276478266035, 7.063715057336755), ('engine_idling', 4.778926252605476, 6.258464239015574), ('dog_bark', 5.102886953508371, 6.735310202512402), ('car_horn', 5.714579830222632, 8.807936850597446), ('children_playing', 6.473050482777711, 9.925579323415414), ('dog_bark', 8.115935664227345, 10.073525143986766)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1008.wav,"[('noise', 0, 10.0), ('jackhammer', 1.637177495193303, 3.386166926438799), ('air_conditioner', 1.9838673655833194, 4.0331369431553314), ('dog_bark', 4.374613552357233, 5.5827882439618), ('drilling', 5.883007309003503, 7.795586454516856), ('air_conditioner', 5.920080730156964, 8.313595479954628), ('drilling', 6.079912070778869, 6.55991207077887), ('jackhammer', 6.7676400714351, 9.795776538856668), ('gun_shot', 7.477252275208646, 8.113523275208646), ('siren', 9.170873716490219, 9.891970101997092)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1009.wav,"[('noise', 0, 10.0), ('jackhammer', 3.3885530501309544, 7.0085530501309545), ('drilling', 7.320979867797626, 8.650979867797627)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal101.wav,"[('noise', 0, 10.0), ('gun_shot', 0.8622467387556809, 1.481038738755681), ('drilling', 6.87081739232192, 9.990481907341275), ('dog_bark', 7.665626186023045, 9.82887120943295)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1010.wav,"[('noise', 0, 10.0), ('engine_idling', 1.3123838014876763, 3.1122075418181865), ('car_horn', 3.234747660428684, 3.5347476604286836), ('gun_shot', 7.795242066040844, 9.355242066040844)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1011.wav,"[('noise', 0, 10.0), ('siren', 8.451238711349234, 9.766026639931045)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1012.wav,"[('noise', 0, 10.0), ('gun_shot', 2.1959939288286345, 4.395993928828634), ('gun_shot', 5.747759159032352, 7.997759159032352)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1013.wav,"[('noise', 0, 10.0), ('children_playing', 0.8552965649495041, 3.8639014099257305), ('street_music', 3.6978755054292805, 5.8367877556864665), ('gun_shot', 4.025993991005896, 6.655993991005896), ('dog_bark', 5.962208051767801, 9.524573246769485), ('jackhammer', 6.10812923517846, 8.409723963170627), ('car_horn', 6.6540904040905815, 9.795094464650804), ('air_conditioner', 7.777002073015885, 8.86595672941147)]"
